Nom de l'écran,Type d'interaction,Description de l'action,Options disponibles,État ou Message d'erreur,Catégorie de fonctionnalité,Source
Guide de positionnement visage,Caméra / Guide overlay,Guider l'utilisateur pour positionner correctement son visage,"Overlay ovale blanc (guide de cadrage), Position your face fully within the frame (tooltip), Bouton retour, Bouton aide (?), Caméra en direct",Visage hors du cadre,KYC / Capture,35

Enregistrement vidéo document - Actif,Capture vidéo / Document,Enregistrer une vidéo du document d'identité avec instruction,"Document visible (UK Driving Licence), Hold still (instruction overlay), Recording video (statut), Bouton retour, Onfido | Real Identity (branding)",Document illisible ou mal cadré,KYC / Vérification document,36
Enregistrement vidéo - Terminé,État de succès / Feedback,Confirmer la capture réussie du document,"Aperçu flouté du document, Cadre vert (succès), Icône checkmark verte, Recording complete (statut), Onfido | Real Identity (branding)",Not in source,KYC / Confirmation,37
Sélection type de document,Bouton radio / Sélection,Choisir le type de document d'identité à uploader,"Passport (sélectionné avec icône passeport + drapeau UK), Driver's license (icône voiture + drapeau UK), Continue, Change your citizenship (lien), Not now (lien en haut)",Document non accepté pour ce pays,KYC / Sélection,38
Confirmation citoyenneté,Question binaire / Validation,Confirmer la citoyenneté de l'utilisateur,"Drapeau UK (illustration circulaire), Are you a citizen of the United Kingdom?, Yes (CTA primaire), No (CTA secondaire), Explication (We need this information to open your Revolut account)",Citoyenneté non éligible,KYC / Compliance,39
Positionnement document - Guide,Caméra / Capture document,Guider le positionnement du document pour la capture,"Document visible (UK Driving Licence), Position the front of your document in the frame (instruction), Bouton capture (cercle blanc), Bouton retour, Onfido | Real Identity (branding)",Document hors cadre ou flou,KYC / Capture,40

Sélection cas d'usage,Sélection multiple / Chips,Personnaliser l'expérience en sélectionnant les fonctionnalités souhaitées,"Everyday needs (Transfers, Scheduling payments, Professional account, Metal card, Cashback, Budgeting, View accounts in one place, Shopping deals, Get paycheck early, Kids account), Global spending (Overseas transfers, Foreign exchange, Spending abroad, Airport lounge access), Investments (partiellement visible), Continue, Emojis pour chaque option",Aucune sélection requise,Onboarding / Personnalisation,41
Plan Premium - Détails,Écran de plan / Upsell,Présenter les avantages du plan Premium avec offre spéciale,"Onglets de navigation (Ultra, Metal, Premium, Plus, Standard), Carte Premium avec Special Offer badge, 1 month on us then £7.99/month, Top features (Reduced commodities fees 1.49%, 3% interest on savings, Purchase protection £2,500), Start your complimentary trial, Terms links, Skip",Offre expirée,Onboarding / Monétisation,42
Plan Standard - Détails,Écran de plan / Gratuit,Présenter le plan gratuit Standard avec ses fonctionnalités de base,"Onglets de navigation (Ultra, Metal, Premium, Plus, Standard), Carte Standard avec Active badge, Complimentary - Just the basics, Top features (Commodities 1.99%, Safer online shopping, 2.29% interest on savings), Everyday benefits, Get Standard on us, Skip",Not in source,Onboarding / Monétisation,43
Plan Ultra - Détails,Écran de plan / Premium,Présenter le plan Ultra avec fonctionnalités d'investissement avancées,"Onglets de navigation (Ultra, Metal, Premium, Plus, Standard), Next-level investing, 4.75% interest on savings, No commission stock trading (10 trades/month), Get our lowest crypto fees 0.49%, Get our lowest commodities fees 1.49%, View pricing options, Skip",Capital at risk disclaimer,Onboarding / Monétisation,44
Capture verso document,Caméra / Capture document,Capturer le verso du document d'identité,"Document visible (verso permis de conduire EU), Icône rotation (flip), Position the back of your document in the frame (instruction), Bouton capture (cercle blanc), Bouton retour, Onfido | Real Identity (branding)",Document illisible ou incomplet,KYC / Vérification document,45
