issue,titre,url,priorite,milestone,etat_code,confiance_etat,resume,preuve_locale,recommended_action
172,[DEMO-08] Pre-commit Hooks + Code Quality finale,https://github.com/Ken-Andre/bicec-veripass/issues/172,medium,,Trace faible / à vérifier,faible,"Pre-commit Hooks + Code Quality finale: Configurer .pre-commit-config.yaml : black, isort, ruff, mypy (backend), eslint (frontend); pre-commit run --all-files → zéro warning","fichiers proches: `CHANGELOG.md`, `code/mobile/src/views/settings/DeleteAccountScreen.tsx`, `code/scripts/test-backup-restore.sh`",Inspect detected files and either finish the implementation or mark as future scope.
171,[DEMO-07] Vidéo démo — Enregistrement backup,https://github.com/Ken-Andre/bicec-veripass/issues/171,medium,,Partiellement terminé,faible,Vidéo démo — Enregistrement backup: Enregistrer une vidéo de la démo complète (OBS ou loom); Durée : 10-12 minutes — parcours complet avec narration,"fichiers proches: `docs/Fonctionnalité_Interaction_Erreurs.md`, `CHANGELOG.md`, `docs/index.md`",Finish or explicitly scope the presentation/report deliverable before soutenance.
170,[DEMO-06] Architecture Diagrams — Mise à jour finale,https://github.com/Ken-Andre/bicec-veripass/issues/170,medium,,Partiellement terminé,faible,Architecture Diagrams — Mise à jour finale: Mettre à jour diagramme C4 Level 1 (System Context) si changements; Mettre à jour diagramme C4 Level 2 (Containers) avec tous les services réels,"fichiers proches: `CHANGELOG.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/index.md`",Backlog candidate after presentation unless it blocks the demo narrative.
169,[DEMO-05] ADRs finaux — Review et complétion,https://github.com/Ken-Andre/bicec-veripass/issues/169,medium,,Partiellement terminé,faible,"ADRs finaux — Review et complétion: Vérifier cohérence ADR-001 à ADR-012 avec code final livré; Créer ADR-013 : ""Stratégie de test E2E — Playwright vs Cypress""","fichiers proches: `CHANGELOG.md`, `docs/index.md`, `docs/adr/ADR-017-gestion-dynamique-gab-admin.md`",Backlog candidate after presentation unless it blocks the demo narrative.
186,[DISCOVERY-03] Frontend — Appointment booking shell view,https://github.com/Ken-Andre/bicec-veripass/issues/186,low,,Trace faible / à vérifier,faible,Frontend — Appointment booking shell view: Calendrier visuel (React Day Picker); Sélection agence la plus proche (liste statique),"fichiers proches: `CHANGELOG.md`, `code/mobile/src/hooks/use-service-worker.ts`, `paddleocr_test/notebooks/02_synthetic_cni_generation.py`",Inspect detected files and either finish the implementation or mark as future scope.
185,[DISCOVERY-02] Frontend — Loan simulator view,https://github.com/Ken-Andre/bicec-veripass/issues/185,low,,Trace faible / à vérifier,faible,"Frontend — Loan simulator view: Entrées : montant, durée, type de crédit; Sortie : mensualité estimée, coût du crédit","fichiers proches: `paddleocr_test/test_kyc.py`, `code/backoffice/src/pages/compliance/AmlListsPage.tsx`, `paddleocr_test/notebooks/04_eneo_sanctions_exploration.py`",Inspect detected files and either finish the implementation or mark as future scope.
184,[DISCOVERY-01] Frontend — Banking offerings explorer,https://github.com/Ken-Andre/bicec-veripass/issues/184,low,,Trace faible / à vérifier,faible,"Frontend — Banking offerings explorer: Écran ""Découvrez nos offres"" après soumission KYC; Carousel de cartes produit (Compte Jeune, Pack Epargne, Crédit Scolaire)","fichiers proches: `CHANGELOG.md`, `code/test_celery.py`, `code/mobile/src/views/kyc/LivenessIntroScreen.tsx`",Inspect detected files and either finish the implementation or mark as future scope.
179,[ADMIN-06] Monitoring — Grafana Performance Dashboard,https://github.com/Ken-Andre/bicec-veripass/issues/179,low,M6 - Analytics & Demo,Partiellement terminé,moyenne,"Monitoring — Grafana Performance Dashboard: Dashboard Grafana : CPU/RAM usage, throughput Prometheus, latences OCR, liveness failure rates; Alerting : notifier si error rate > 5% pendant 1 min","fichiers proches: `CHANGELOG.md`, `code/scripts/MONITORING.md`, `paddleocr_test/notebooks/ocr_utils.py`",Backlog candidate after presentation unless it blocks the demo narrative.
150,[ANALYTICS-11] Back-Office React — CSV Export Button,https://github.com/Ken-Andre/bicec-veripass/issues/150,low,M6 - Analytics & Demo,Partiellement terminé,moyenne,"Back-Office React — CSV Export Button: Bouton ""Exporter CSV"" sur toutes les pages analytics (funnel, OCR, agents); Appel GET /analytics/export?table={}&format=csv → déclencher téléchargement","fichiers proches: `CHANGELOG.md`, `code/mobile/src/views/kyc/OcrReviewScreen.tsx`, `code/backoffice/src/pages/analytics/FunnelAnalyticsPage.tsx`",Backlog candidate after presentation unless it blocks the demo narrative.
118,[KYC-ADDR-01] Backend — Administrative divisions data (Ville/Commune/Quartier),https://github.com/Ken-Andre/bicec-veripass/issues/118,,M5 - Full KYC Flow,Trace faible / à vérifier,faible,Backend — Administrative divisions data (Ville/Commune/Quartier): Seed database with Cameroonian administrative divisions; Hierarchy: Region -> Ville -> Commune -> Quartier,"fichiers proches: `code/scripts/run_kyc_happy_path_acceptance.py`, `paddleocr_test/notebooks/02_synthetic_cni_generation.py`, `paddleocr_test/notebooks/ocr_utils.py`",Inspect detected files and either finish the implementation or mark as future scope.
96,[OFFLINE-06] Integration — ENTO/Blackout scenario persistence,https://github.com/Ken-Andre/bicec-veripass/issues/96,,M3 - AI Engine Complete,Trace faible / à vérifier,faible,Integration — ENTO/Blackout scenario persistence: Implement tests for session persistence through full battery drain/shutdown; Ensure IndexedDB data survives browser tab closure,"fichiers proches: `CHANGELOG.md`, `docs/consultant-integration-prompt.md`, `code/backend/alembic/env.py`",Inspect detected files and either finish the implementation or mark as future scope.
63,[OCR-01] Backend — PaddleOCR Service (Primary),https://github.com/Ken-Andre/bicec-veripass/issues/63,,M3 - AI Engine Complete,Trace faible / à vérifier,faible,Backend — PaddleOCR Service (Primary): Implement PaddleOCR PP-OCRv5 primary service; Optimize for CPU-only execution on i3,"fichiers proches: `CHANGELOG.md`, `paddleocr_test/test_structure.py`, `code/scripts/test-backup-restore.sh`",Inspect detected files and either finish the implementation or mark as future scope.
123,[KYC-ADDR-06] UI — NIU declaration vs document upload toggle,https://github.com/Ken-Andre/bicec-veripass/issues/123,,M5 - Full KYC Flow,Partiellement terminé,moyenne,UI — NIU declaration vs document upload toggle: UI for NIU entry method selection; Upload component for NIU Attestation document,"fichiers proches: `CHANGELOG.md`, `code/mobile/tests/e2e/kyc-auth-and-atms.spec.ts`, `paddleocr_test/notebooks/ocr_utils.py`",Backlog candidate after presentation unless it blocks the demo narrative.
121,[KYC-ADDR-04] UI — Map/Location preview (optional),https://github.com/Ken-Andre/bicec-veripass/issues/121,,M5 - Full KYC Flow,Partiellement terminé,moyenne,UI — Map/Location preview (optional): Implement optional Map view for address confirmation; Simple marker placement based on GPS/Selection,"fichiers proches: `CHANGELOG.md`, `code/scripts/import-docker-stack.ps1`, `paddleocr_test/notebooks/05_pdf_image_converter.py`",Backlog candidate after presentation unless it blocks the demo narrative.
119,[KYC-ADDR-02] UI — Progressive cascade dropdowns for address entry,https://github.com/Ken-Andre/bicec-veripass/issues/119,,M5 - Full KYC Flow,Partiellement terminé,moyenne,"UI — Progressive cascade dropdowns for address entry: Implement address entry screen in mobile PWA; Progressive cascade logic for dropdowns (Ville triggers Commune, etc.)","fichiers proches: `CHANGELOG.md`, `code/mobile/src/utils/imageCompression.ts`, `code/backend/app/tasks/kyc.py`",Backlog candidate after presentation unless it blocks the demo narrative.
98,[OFFLINE-08] Backend — Endpoint for partial upload resumption,https://github.com/Ken-Andre/bicec-veripass/issues/98,,M3 - AI Engine Complete,Partiellement terminé,moyenne,Backend — Endpoint for partial upload resumption: Implement backend support for partial/chunked uploads; Verification of received chunks vs. local SHA-256,"fichiers proches: `CHANGELOG.md`, `docs/consultant-integration-prompt.md`, `code/backoffice/src/types/aml.ts`",Backlog candidate after presentation unless it blocks the demo narrative.
97,[OFFLINE-07] Security — Encrypted storage in IndexedDB,https://github.com/Ken-Andre/bicec-veripass/issues/97,,M3 - AI Engine Complete,Partiellement terminé,moyenne,Security — Encrypted storage in IndexedDB: Implement encryption for sensitive data stored in IndexedDB; Management of local encryption keys,"fichiers proches: `CHANGELOG.md`, `docs/consultant-integration-prompt.md`, `code/mobile/src/test/setup.ts`",Backlog candidate after presentation unless it blocks the demo narrative.
95,[OFFLINE-05] UI — Connectivity status indicator,https://github.com/Ken-Andre/bicec-veripass/issues/95,,M3 - AI Engine Complete,Partiellement terminé,moyenne,UI — Connectivity status indicator: UI indicator for Connection status (Online/Offline); Instructional messages for offline resumption,"fichiers proches: `CHANGELOG.md`, `docs/consultant-integration-prompt.md`, `code/scripts/test-backup-restore.sh`",Backlog candidate after presentation unless it blocks the demo narrative.
93,[OFFLINE-03] Mobile — Offline queue for capture events,https://github.com/Ken-Andre/bicec-veripass/issues/93,,M3 - AI Engine Complete,Partiellement terminé,moyenne,"Mobile — Offline queue for capture events: Implement logic to queue document captures when offline; Tracking of pending uploads (Recto, Verso, Selfie)","fichiers proches: `CHANGELOG.md`, `docs/consultant-integration-prompt.md`, `code/scripts/audit_sentry_issues.py`",Backlog candidate after presentation unless it blocks the demo narrative.
92,[OFFLINE-02] Mobile — IndexedDB for persistent UI state,https://github.com/Ken-Andre/bicec-veripass/issues/92,,M3 - AI Engine Complete,Partiellement terminé,moyenne,"Mobile — IndexedDB for persistent UI state: Implement IndexedDB storage for local session persistence; Store form data, document metadata, and temporary capture flags","fichiers proches: `CHANGELOG.md`, `paddleocr_test/notebooks/ocr_utils.py`, `docs/consultant-integration-prompt.md`",Backlog candidate after presentation unless it blocks the demo narrative.
89,[KYC-SM-08] Backend — KYC session expiration logic (TTL),https://github.com/Ken-Andre/bicec-veripass/issues/89,,M3 - AI Engine Complete,Partiellement terminé,moyenne,Backend — KYC session expiration logic (TTL): Implement backend logic for KYC session TTL (e.g. 7 days for DRAFT); Cleanup script for abandoned sessions,"fichiers proches: `CHANGELOG.md`, `paddleocr_test/notebooks/ocr_utils.py`, `code/mobile/src/views/kyc/SignatureScreen.test.tsx`",Backlog candidate after presentation unless it blocks the demo narrative.
87,[KYC-SM-06] Integration — KYC Status Polling logic,https://github.com/Ken-Andre/bicec-veripass/issues/87,,M3 - AI Engine Complete,Partiellement terminé,faible,"Integration — KYC Status Polling logic: Implement frontend polling service for status updates; Polling intervals: 30s foreground, 2m background (ADR-004)","fichiers proches: `CHANGELOG.md`, `docs/AUDIT-REPORT-2026-03-19.md`, `code/mobile/tailwind.config.js`",Backlog candidate after presentation unless it blocks the demo narrative.
86,[KYC-SM-05] UI — Mobile Status Dashboard (Client profile),https://github.com/Ken-Andre/bicec-veripass/issues/86,,M3 - AI Engine Complete,Partiellement terminé,moyenne,"UI — Mobile Status Dashboard (Client profile): Implement mobile home screen showing current KYC progress; Visual indicators for ""In Review"", ""Information Needed"", ""Validated""","fichiers proches: `CHANGELOG.md`, `code/backoffice/src/test/e2e/role-training.evidence.ts`, `code/mobile/src/views/kyc/SignatureScreen.test.tsx`",Backlog candidate after presentation unless it blocks the demo narrative.
85,[KYC-SM-04] UI — Mobile Dossier Submission screen,https://github.com/Ken-Andre/bicec-veripass/issues/85,,M3 - AI Engine Complete,Partiellement terminé,moyenne,"UI — Mobile Dossier Submission screen: UI for final review before submission; Display completeness checklist (Cni, Liveness, Address, Consent)","fichiers proches: `CHANGELOG.md`, `code/scripts/run_kyc_happy_path_acceptance.py`, `paddleocr_test/notebooks/ocr_utils.py`",Backlog candidate after presentation unless it blocks the demo narrative.
70,[BIO-01] Mobile — Liveness Capture logic (MediaPipe gestures),https://github.com/Ken-Andre/bicec-veripass/issues/70,,M3 - AI Engine Complete,Partiellement terminé,faible,"Mobile — Liveness Capture logic (MediaPipe gestures): Implement gesture-based liveness capture (Smile, Blink, Turn); Real-time landmark detection using MediaPipe WASM","`biometrics` dans `code/backoffice/src/types/kyc.ts`; fichiers proches: `code/backoffice/src/types/kyc.ts`, `CHANGELOG.md`, `docs/diagrams/flows/liveness-verification-task-flow.md`",Backlog candidate after presentation unless it blocks the demo narrative.
68,[OCR-06] UI — Mobile Review Screen with confidence badges,https://github.com/Ken-Andre/bicec-veripass/issues/68,,M3 - AI Engine Complete,Partiellement terminé,moyenne,"UI — Mobile Review Screen with confidence badges: Design and implement Review screen in mobile PWA; Display confidence badges: Green (>=85%), Orange (60-84%), Red (<60%)","fichiers proches: `CHANGELOG.md`, `paddleocr_test/notebooks/01_interactive_ocr_testing.py`, `code/mobile/src/views/dashboard/AtmFinderScreen.tsx`",Backlog candidate after presentation unless it blocks the demo narrative.
66,[OCR-04] Integration — Hybrid OCR Router (ADR-003),https://github.com/Ken-Andre/bicec-veripass/issues/66,,M3 - AI Engine Complete,Partiellement terminé,faible,Integration — Hybrid OCR Router (ADR-003): Implement router logic specified in ADR-003; Threshold check (>=85% confidence),"fichiers proches: `CHANGELOG.md`, `code/backoffice/src/pages/analytics/OcrObservabilityPage.tsx`, `docs/consultant-integration-prompt.md`",Backlog candidate after presentation unless it blocks the demo narrative.
62,[CAPTURE-08] Security — SHA-256 integrity hash calculation,https://github.com/Ken-Andre/bicec-veripass/issues/62,,M2 - Capture MVP,Partiellement terminé,faible,Security — SHA-256 integrity hash calculation: Implement backend logic to compute SHA-256 for uploaded files; Compare with client-provided hash (if available),"`CAPTURE-08` dans `code/backend/tests/unit/test_document_storage.py`; fichiers proches: `CHANGELOG.md`, `code/backend/tests/unit/test_document_storage.py`, `docs/progress-tracker-M0-M1.md`",Backlog candidate after presentation unless it blocks the demo narrative.
60,[CAPTURE-06] Integration — MediaPipe WASM client-side quality gate,https://github.com/Ken-Andre/bicec-veripass/issues/60,,M2 - Capture MVP,Partiellement terminé,moyenne,Integration — MediaPipe WASM client-side quality gate: Load and configure MediaPipe WASM in PWA; Implement blur and glare detection logic,"fichiers proches: `CHANGELOG.md`, `docs/progress-tracker-M0-M1.md`, `code/mobile/src/services/mediapipeService.ts`","Review CNI quality gate manually. Current code has blur/glare/brightness gating in `CniCaptureScreen.tsx`, but MediaPipe WASM is not clearly part of the document gate."
59,[CAPTURE-05] UI — Camera Preview & Framing Overlay,https://github.com/Ken-Andre/bicec-veripass/issues/59,,M2 - Capture MVP,Partiellement terminé,moyenne,"UI — Camera Preview & Framing Overlay: Design and implement camera overlay (Rectangle guide); Real-time instructional text (e.g., ""Approchez la carte"")","fichiers proches: `CHANGELOG.md`, `code/mobile/src/views/kyc/CniCaptureScreen.tsx`, `docs/progress-tracker-M0-M1.md`",Backlog candidate after presentation unless it blocks the demo narrative.
56,[CAPTURE-02] Mobile — CNI Verso Capture logic,https://github.com/Ken-Andre/bicec-veripass/issues/56,,M2 - Capture MVP,Partiellement terminé,moyenne,Mobile — CNI Verso Capture logic: Implement transition from Recto to Verso capture; Reuse camera logic and framing overlay,"fichiers proches: `CHANGELOG.md`, `docs/progress-tracker-M0-M1.md`, `code/mobile/src/views/kyc/SignatureScreen.test.tsx`",Backlog candidate after presentation unless it blocks the demo narrative.
34,Story 7.2: Funnel Drop-Off Analytics,https://github.com/Ken-Andre/bicec-veripass/issues/34,,M6 - Analytics & Demo,Partiellement terminé,faible,Story 7.2: Funnel Drop-Off Analytics: Shows conversion rates at each step: Inscription → CNI Recto → CNI Verso → Liveness → Adresse → NIU → Consentement → Soumis → Approuvé → Activé; Can filter by date range and agency,"fichiers proches: `CHANGELOG.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/articles/guide-complet-ocr-systeme-production-cni-cameroun.md`",Backlog candidate after presentation unless it blocks the demo narrative.
33,Story 7.1: SLA & Operational Health Dashboard (R/Y/G),https://github.com/Ken-Andre/bicec-veripass/issues/33,,M6 - Analytics & Demo,Partiellement terminé,moyenne,"Story 7.1: SLA & Operational Health Dashboard (R/Y/G): Status tiles visible: Agent Queue SLA (% within target), Liveness Failure Rate, Duplicate Alert Rate, Amplitude Batch Success Rate, System Health (FastAPI, Postgres, Redis); Colored states: GREEN (<threshold), YELLOW (approaching), RED (exceeded)","fichiers proches: `CHANGELOG.md`, `code/backoffice/src/test/e2e/thomas-operational-audit.evidence.ts`, `paddleocr_test/notebooks/ocr_utils.py`",Backlog candidate after presentation unless it blocks the demo narrative.
26,Story 5.1: Jean's Prioritized Dossier Queue,https://github.com/Ken-Andre/bicec-veripass/issues/26,,M4 - Back-Office MVP,Partiellement terminé,moyenne,"Story 5.1: Jean's Prioritized Dossier Queue: He sees a queue of dossiers with status=PENDING_KYC; Sorting priority: (1) Escalated SLA flags first, (2) Lowest global_confidence_score, (3) FIFO","fichiers proches: `CHANGELOG.md`, `paddleocr_test/notebooks/ocr_utils.py`, `docs/schema/ddl-complete.sql`",Backlog candidate after presentation unless it blocks the demo narrative.
18,Story 3.1: Address Entry with Progressive Cascade Dropdowns + Optional GPS,https://github.com/Ken-Andre/bicec-veripass/issues/18,,M3 - AI Engine Complete,Partiellement terminé,faible,Story 3.1: Address Entry with Progressive Cascade Dropdowns + Optional GPS: Commune dropdown is populated based on selected Ville; Selecting a Commune populates the Quartier dropdown,"`kyc_session` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `code/scripts/seed_kyc_compliance_visual_demo.py`, `CHANGELOG.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`",Backlog candidate after presentation unless it blocks the demo narrative.
17,Story 2.5: Session Resumption After Network Loss (Service Worker + IndexedDB),https://github.com/Ken-Andre/bicec-veripass/issues/17,,M2 - Capture MVP,Partiellement terminé,moyenne,"Story 2.5: Session Resumption After Network Loss (Service Worker + IndexedDB): App displays ""Reprise de votre session... Nous avons sauvegardé votre progression."" within <2 seconds; PWA resumes at the last incomplete step","fichiers proches: `CHANGELOG.md`, `docs/progress-tracker-M0-M1.md`, `code/backend/tests/test_kyc_auth_and_atms.py`",Backlog candidate after presentation unless it blocks the demo narrative.
7,"📊 Epic 7: Sylvie's Command Center, Audit & Compliance Export",https://github.com/Ken-Andre/bicec-veripass/issues/7,,M6 - Analytics & Demo,Partiellement terminé,faible,"📊 Epic 7: Sylvie's Command Center, Audit & Compliance Export: [ ] Story 7.1 — SLA & Operational Health Dashboard (R/Y/G color-coded tiles, auto-refresh every 30s); [ ] Story 7.2 — Funnel Drop-Off Analytics (step-by-step conversion rates + time-to-completion histograms)","fichiers proches: `CHANGELOG.md`, `docs/AUDIT-REPORT-2026-03-19.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`",Backlog candidate after presentation unless it blocks the demo narrative.
2,📱 Epic 2: Marie's Resilient KYC Capture Journey,https://github.com/Ken-Andre/bicec-veripass/issues/2,,M2 - Capture MVP,Partiellement terminé,moyenne,📱 Epic 2: Marie's Resilient KYC Capture Journey: [ ] Story 2.1 — CNI Recto Capture with Client-Side Quality Gate (MediaPipe WASM); [ ] Story 2.2 — CNI Verso Capture,"fichiers proches: `CHANGELOG.md`, `docs/progress-tracker-M0-M1.md`, `docs/articles/guide-complet-ocr-systeme-production-cni-cameroun.md`",Backlog candidate after presentation unless it blocks the demo narrative.
