issue,titre,url,type,scope,priorite,milestone,resume,etat_code,confiance_etat,preuve_locale,score_detection,premier_commit,date_premier_commit,sujet_premier_commit,confiance_premier_commit,dernier_commit,date_dernier_commit,sujet_dernier_commit,confiance_dernier_commit,prochaine_action
184,[DISCOVERY-01] Frontend — Banking offerings explorer,https://github.com/Ken-Andre/bicec-veripass/issues/184,Task,frontend,low,,"Frontend — Banking offerings explorer: Écran ""Découvrez nos offres"" après soumission KYC; Carousel de cartes produit (Compte Jeune, Pack Epargne, Crédit Scolaire)",Trace faible / à vérifier,faible,"fichiers proches: `CHANGELOG.md`, `code/test_celery.py`, `code/mobile/src/views/kyc/LivenessIntroScreen.tsx`",9,,,,,,,,,Vérifier manuellement les fichiers détectés avant de dater le jalon.
182,[ADMIN-09] Frontend — Sentry integration pour error reporting,https://github.com/Ken-Andre/bicec-veripass/issues/182,Task,"frontend, analytics, monitoring",low,M2 - Capture MVP,"Frontend — Sentry integration pour error reporting: [x] Initialisation @sentry/react dans index.tsx; [ ] Capturer exceptions métier (ocr_failure, match_error)",Terminé probable,haute,"`@sentry/react` dans `code/scripts/audit_sentry_issues.py`; `index.tsx` dans `code/backoffice/src/pages/Index.tsx`; `ocr_failure` dans `code/mobile/src/views/kyc/OcrReviewScreen.tsx`; fichiers proches: `code/mobile/src/views/kyc/OcrReviewScreen.tsx`, `CHANGELOG.md`, `code/scripts/audit_sentry_issues.py`",33,2f61209b2a55,2026-03-20,"[INFRA] Setup Frontend Monitoring and Backend Security (#182, #174)",haute: référence issue #182,2f61209b2a55,2026-03-20,"[INFRA] Setup Frontend Monitoring and Backend Security (#182, #174)",haute: référence issue #182,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
179,[ADMIN-06] Monitoring — Grafana Performance Dashboard,https://github.com/Ken-Andre/bicec-veripass/issues/179,Task,"infrastructure, analytics, monitoring",low,M6 - Analytics & Demo,"Monitoring — Grafana Performance Dashboard: Dashboard Grafana : CPU/RAM usage, throughput Prometheus, latences OCR, liveness failure rates; Alerting : notifier si error rate > 5% pendant 1 min",Partiellement terminé,moyenne,"fichiers proches: `CHANGELOG.md`, `code/scripts/MONITORING.md`, `paddleocr_test/notebooks/ocr_utils.py`",11,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
177,[ADMIN-04] Monitoring — /metrics Prometheus endpoint,https://github.com/Ken-Andre/bicec-veripass/issues/177,Task,"backend, analytics, monitoring",medium,M6 - Analytics & Demo,Monitoring — /metrics Prometheus endpoint: Ajouter prometheus-fastapi-instrumentator dans requirements; Exposer GET /metrics (accès restreint IP locale uniquement),Terminé probable,haute,"`/metrics` dans `code/scripts/MONITORING.md`; fichiers proches: `code/scripts/MONITORING.md`, `CHANGELOG.md`, `code/backend/tests/test_kyc_auth_and_atms.py`",16,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
173,[DEMO-09] Rapport PFE — Résumé Exécutif & Abstract,https://github.com/Ken-Andre/bicec-veripass/issues/173,Task,"documentation, demo",high,,"Rapport PFE — Résumé Exécutif & Abstract: Abstract (1 page, anglais) : contexte BICEC, problème, solution, résultats clés, technologies; Résumé exécutif (2 pages, français) : pour direction BICEC non-technique",Partiellement terminé,faible,"`pfe` dans `code/README.md`; fichiers proches: `code/README.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/index.md`",17,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
172,[DEMO-08] Pre-commit Hooks + Code Quality finale,https://github.com/Ken-Andre/bicec-veripass/issues/172,Task,"backend, frontend, infrastructure, aml, demo",medium,,"Pre-commit Hooks + Code Quality finale: Configurer .pre-commit-config.yaml : black, isort, ruff, mypy (backend), eslint (frontend); pre-commit run --all-files → zéro warning",Trace faible / à vérifier,faible,"fichiers proches: `CHANGELOG.md`, `code/mobile/src/views/settings/DeleteAccountScreen.tsx`, `code/scripts/test-backup-restore.sh`",9,28917a4c2296,2026-03-21,"security: enhance OTP, email, and security configurations","haute: .pre-commit-config.yaml, pre-commit-config.yaml, pre-commit",ae76d9a730af,2026-05-22,"ci: pin ruff version, add STORAGE/MODELS paths; add pre-commit hooks","haute: .pre-commit-config.yaml, pre-commit-config.yaml, pre-commit",Vérifier manuellement les fichiers détectés avant de dater le jalon.
171,[DEMO-07] Vidéo démo — Enregistrement backup,https://github.com/Ken-Andre/bicec-veripass/issues/171,Task,demo,medium,,Vidéo démo — Enregistrement backup: Enregistrer une vidéo de la démo complète (OBS ou loom); Durée : 10-12 minutes — parcours complet avec narration,Partiellement terminé,faible,"fichiers proches: `docs/Fonctionnalité_Interaction_Erreurs.md`, `CHANGELOG.md`, `docs/index.md`",11,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
170,[DEMO-06] Architecture Diagrams — Mise à jour finale,https://github.com/Ken-Andre/bicec-veripass/issues/170,Task,"documentation, demo",medium,,Architecture Diagrams — Mise à jour finale: Mettre à jour diagramme C4 Level 1 (System Context) si changements; Mettre à jour diagramme C4 Level 2 (Containers) avec tous les services réels,Partiellement terminé,faible,"fichiers proches: `CHANGELOG.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/index.md`",13,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
169,[DEMO-05] ADRs finaux — Review et complétion,https://github.com/Ken-Andre/bicec-veripass/issues/169,Task,"documentation, demo",medium,,"ADRs finaux — Review et complétion: Vérifier cohérence ADR-001 à ADR-012 avec code final livré; Créer ADR-013 : ""Stratégie de test E2E — Playwright vs Cypress""",Partiellement terminé,faible,"fichiers proches: `CHANGELOG.md`, `docs/index.md`, `docs/adr/ADR-017-gestion-dynamique-gab-admin.md`",9,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
168,[DEMO-04] QR Code — Accès PWA depuis mobile physique,https://github.com/Ken-Andre/bicec-veripass/issues/168,Task,"mobile, infrastructure, demo",high,M6 - Analytics & Demo,QR Code — Accès PWA depuis mobile physique: Configurer IP locale dans .env : PWA_PUBLIC_URL=; Générer QR code pointant vers l'IP locale,Terminé probable,haute,"`.env` dans `code/scripts/test-backup-restore.sh`; fichiers proches: `code/scripts/test-backup-restore.sh`, `CHANGELOG.md`, `code/backoffice/src/pages/UnauthorizedPage.tsx`",16,e72448729475,2026-06-01,"feat(backend): KYC route & service refinements, config, test updates, uv.lock, .env.example",moyenne/faible: .env,e72448729475,2026-06-01,"feat(backend): KYC route & service refinements, config, test updates, uv.lock, .env.example",moyenne/faible: .env,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
167,[DEMO-03] Script de démo — Walkthrough 10 minutes,https://github.com/Ken-Andre/bicec-veripass/issues/167,Task,"documentation, aml, demo",critical,M6 - Analytics & Demo,"Script de démo — Walkthrough 10 minutes: Rédiger docs/demo-script.md : script ligne par ligne (narrateur + actions écran); Durée cible : 10 minutes pour jury, 5 minutes version courte",Partiellement terminé,faible,"fichiers proches: `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/demo-scenario-mvp-2026-05-20.md`, `docs/rapport-stage/build_stage_report.py`",10,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
166,[DEMO-02] Docker Compose — Package démo portable,https://github.com/Ken-Andre/bicec-veripass/issues/166,Task,"infrastructure, demo",critical,M6 - Analytics & Demo,Docker Compose — Package démo portable: docker compose build --no-cache → vérifier toutes les images buildent sans erreur; docker compose up + seed demo data → vérifier les 5 profils chargés,Terminé probable,haute,"`docker compose up` dans `code/scripts/test-backup-restore.sh`; `.tar.gz` dans `code/scripts/test-backup-docker-images.sh`; fichiers proches: `code/scripts/test-backup-restore.sh`, `code/scripts/test-backup-docker-images.sh`, `CHANGELOG.md`",21,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
165,[DEMO-01] Rapport PFE — Sections techniques finales,https://github.com/Ken-Andre/bicec-veripass/issues/165,Task,"mobile, documentation, demo",critical,M6 - Analytics & Demo,"Rapport PFE — Sections techniques finales: Section Contribution Data/IA : résultats OCR observability, benchmarks modèles, courbes FER; Section Architecture : C4 diagrams, ADRs justifiés",Partiellement terminé,faible,"`pfe` dans `code/README.md`; fichiers proches: `code/README.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `CHANGELOG.md`",17,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
164,[SECURITY-01] Checklist Sécurité Finale \u0026 Hardening,https://github.com/Ken-Andre/bicec-veripass/issues/164,Task,"backend, security, infrastructure",high,M6 - Analytics & Demo,"Checklist Sécurité Finale \u0026 Hardening: Vérifier tous les endpoints requièrent authentification (sauf /health, /auth/otp/*, /legal/*); Vérifier aucun secret dans le code (git grep SECRET_KEY\|password\|API_KEY — aucun résultat hardcodé)",Terminé probable,haute,"`/health` dans `CHANGELOG.md`; `echo=False` dans `code/backend/tests/conftest.py`; `core/config.py` dans `code/backend/app/core/config.py`; fichiers proches: `CHANGELOG.md`, `code/backend/tests/conftest.py`, `code/backend/app/core/config.py`",25,d6dfe3655ddb,2026-03-13,ci: consolidate CI/lint fixes without hardcoded secret,"moyenne/faible: core/config.py, secret",4c92c9b99c47,2026-03-15,refactor: update health endpoint path and enhance nginx TLS configuration,"moyenne/faible: /health, health",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
163,[TEST-11] Tests Unitaires — Services AI Mocks,https://github.com/Ken-Andre/bicec-veripass/issues/163,Task,"testing, ai-engine",high,M6 - Analytics & Demo,Tests Unitaires — Services AI Mocks: Mock PaddleOCRService : retourner résultats prédéfinis sans charger les modèles ONNX; Mock GLMOCRService : simuler réponse JSON after 2s delay,Terminé probable,haute,"`pytest.monkeypatch` dans `code/backend/tests/test_sms_dev_local.py`; fichiers proches: `code/backend/tests/test_sms_dev_local.py`, `CHANGELOG.md`, `code/backend/tests/unit/test_document_storage.py`",16,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
162,[TEST-10] Golden Dataset — Données de démo préparées,https://github.com/Ken-Andre/bicec-veripass/issues/162,Task,"testing, aml, demo",critical,M6 - Analytics & Demo,"Golden Dataset — Données de démo préparées: Script scripts/seed_demo.py : créer 5 profils utilisateurs complets; Profil 1 ""Happy Path"" : Marie Mballa — score 0.92, approuvée, accès FULL",Partiellement terminé,moyenne,"fichiers proches: `code/backend/app/routers/demo.py`, `CHANGELOG.md`, `code/scripts/run_kyc_happy_path_acceptance.py`",10,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
161,[TEST-09] Tests de charge — 5 sessions simultanées,https://github.com/Ken-Andre/bicec-veripass/issues/161,Task,testing,medium,M6 - Analytics & Demo,Tests de charge — 5 sessions simultanées: Utiliser Locust ou k6 pour simuler 5 utilisateurs concurrents; Scénario : 5 uploads CNI simultanés → 5 pipelines OCR → 5 pipelines biométrie,Trace faible / à vérifier,faible,"fichiers proches: `code/backoffice/src/services/mock-data.ts`, `code/scripts/README.md`, `code/test_celery.py`",9,,,,,,,,,Vérifier manuellement les fichiers détectés avant de dater le jalon.
160,[TEST-08] Performance Benchmark — Hardware cible,https://github.com/Ken-Andre/bicec-veripass/issues/160,Task,testing,high,M6 - Analytics & Demo,"Performance Benchmark — Hardware cible: Scénario de charge : 5 sessions simultanées (5 tabs Chrome); Mesurer : temps OCR PaddleOCR (target < 5s), temps GLM-OCR (target < 30s), temps liveness (target < 10s), temps face match (target < 15s)",Trace faible / à vérifier,faible,"fichiers proches: `code/backoffice/src/services/mock-data.ts`, `CHANGELOG.md`, `code/scripts/MONITORING.md`",9,,,,,,,,,Vérifier manuellement les fichiers détectés avant de dater le jalon.
159,[TEST-07] CI/CD — GitHub Actions Pipeline,https://github.com/Ken-Andre/bicec-veripass/issues/159,Task,infrastructure,high,M6 - Analytics & Demo,"CI/CD — GitHub Actions Pipeline: Workflow ci.yml : sur chaque push → ruff, black, isort, pytest --cov=app; Workflow docker-build.yml : sur push develop → build images Docker (sans push)",Terminé probable,haute,"`ruff` dans `CHANGELOG.md`; `black` dans `code/backoffice/src/services/sentry.ts`; `pytest --cov=app` dans `code/README.md`; fichiers proches: `CHANGELOG.md`, `code/README.md`, `code/backoffice/src/services/sentry.ts`",26,ae76d9a730af,2026-05-22,"ci: pin ruff version, add STORAGE/MODELS paths; add pre-commit hooks","haute: ci.yml, ruff, github",ae76d9a730af,2026-05-22,"ci: pin ruff version, add STORAGE/MODELS paths; add pre-commit hooks","haute: ci.yml, ruff, github",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
158,[TEST-06] Tests sécurité — RBAC & JWT tampering,https://github.com/Ken-Andre/bicec-veripass/issues/158,Task,"backoffice, security, testing",high,M6 - Analytics & Demo,Tests sécurité — RBAC & JWT tampering: Test : JWT d'un CLIENT tente d'accéder à /backoffice/queue → 403; Test : JWT expiré → 401,Terminé probable,haute,"`/backoffice/queue` dans `code/scripts/run_kyc_happy_path_acceptance.py`; fichiers proches: `code/scripts/run_kyc_happy_path_acceptance.py`, `CHANGELOG.md`, `code/scripts/README.md`",16,c192475c330d,2026-03-20,"feat(backend): Pagination globale des endpoints liste (#181) - Ajout de app/core/pagination.py : helper universel PageParams, PageResponse, paginate() - GET /backoffice/queue : dossiers KYC PENDING/SUBMITTED paginés (priorité + date) - GET /backoffice/audit-logs : logs d'audit paginés (plus récent d'abord) - GET /admin/users : liste utilisateurs paginée (plus récent d'abord) - Réponse unifiée : {items, total, page, pages, limit} sur tous les endpoints - Fix SQLAlchemy mapper init via import app.db.base dans les nouveaux routers - Testé en live sur le serveur Docker (200 OK sur les 3 endpoints)","haute: /backoffice/queue, backoffice, queue",c192475c330d,2026-03-20,"feat(backend): Pagination globale des endpoints liste (#181) - Ajout de app/core/pagination.py : helper universel PageParams, PageResponse, paginate() - GET /backoffice/queue : dossiers KYC PENDING/SUBMITTED paginés (priorité + date) - GET /backoffice/audit-logs : logs d'audit paginés (plus récent d'abord) - GET /admin/users : liste utilisateurs paginée (plus récent d'abord) - Réponse unifiée : {items, total, page, pages, limit} sur tous les endpoints - Fix SQLAlchemy mapper init via import app.db.base dans les nouveaux routers - Testé en live sur le serveur Docker (200 OK sur les 3 endpoints)","haute: /backoffice/queue, backoffice, queue",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
157,[TEST-05] Tests E2E Playwright — Jean approve flow complet,https://github.com/Ken-Andre/bicec-veripass/issues/157,Task,"backoffice, testing",high,M6 - Analytics & Demo,Tests E2E Playwright — Jean approve flow complet: Login Jean → Queue View → Prendre en charge → Evidence Viewer → Approve; Vérifier transition status → COMPLIANCE_REVIEW,Terminé probable,haute,"`DOSSIER_APPROVED` dans `code/mobile/src/views/dashboard/NotificationsScreen.tsx`; `e2e` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/mobile/src/views/dashboard/NotificationsScreen.tsx`, `code/scripts/run_kyc_happy_path_acceptance.py`",23,d278a44d1aa4,2026-05-22,"feat(backoffice): add evidence viewer, session warning, auth context & e2e tests","haute: e2e, playwright, evidence",d278a44d1aa4,2026-05-22,"feat(backoffice): add evidence viewer, session warning, auth context & e2e tests","haute: e2e, playwright, evidence",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
156,[TEST-04] Tests E2E Playwright — 3 strikes liveness lockout,https://github.com/Ken-Andre/bicec-veripass/issues/156,Task,testing,high,M6 - Analytics & Demo,Tests E2E Playwright — 3 strikes liveness lockout: Simuler 3 échecs liveness en série (mock MiniFASNet → score < threshold); Vérifier écran lockout affiché après 3e échec,Terminé probable,haute,"`e2e` dans `CHANGELOG.md`; `biometrics` dans `code/backoffice/src/types/kyc.ts`; `kyc_sessions` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `CHANGELOG.md`, `code/backoffice/src/types/kyc.ts`, `code/scripts/seed_kyc_compliance_visual_demo.py`",26,f1eefc491789,2026-04-27,feat(backoffice): add dossier support chat and file access,"haute: e2e, kyc_sessions",c5bc962c3365,2026-05-03,chore: backend linting and shared infrastructure updates,"haute: e2e, kyc_sessions",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
155,[TEST-03] Tests E2E Playwright — Résumption offline,https://github.com/Ken-Andre/bicec-veripass/issues/155,Task,testing,high,M6 - Analytics & Demo,"Tests E2E Playwright — Résumption offline: Playwright + page.setOfflineMode(true) pendant upload CNI; Vérifier banner ""Hors ligne"" affiché",Terminé probable,haute,"`e2e` dans `CHANGELOG.md`; `offline` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/backend/tests/test_kyc_auth_and_atms.py`, `code/mobile/src/views/settings/DeleteAccountScreen.tsx`",21,e21e3142bdc5,2026-04-06,refactor: restructure backoffice types & improve mobile offline banner component,"haute: offline, banner",93737581b9c3,2026-05-29,"refactor(mobile): remove KycResumeBanner from App, update translations, ScreenLayout, AppBar, BottomNav","haute: e2e, offline",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
154,[TEST-02] Tests E2E Playwright — Parcours Marie complet,https://github.com/Ken-Andre/bicec-veripass/issues/154,Task,testing,critical,M6 - Analytics & Demo,Tests E2E Playwright — Parcours Marie complet: Flow complet : OTP → PIN setup → CNI recto → CNI verso → OCR review → selfie → liveness → adresse → NIU → consentement → soumission; Utiliser seed data (20 images CNI synthétiques + selfies),Partiellement terminé,faible,"`e2e` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `docs/index.md`, `docs/demo-scenario-mvp-2026-05-20.md`",18,6e9e9fb01f55,2026-03-13,test(backoffice): add Playwright E2E tests and Vitest setup,"haute: e2e, playwright, setup",6e9e9fb01f55,2026-03-13,test(backoffice): add Playwright E2E tests and Vitest setup,"haute: e2e, playwright, setup",Planifier le reste à faire ou expliciter le périmètre réellement livré.
153,[TEST-01] Tests d'intégration — Coverage ≥ 70%,https://github.com/Ken-Andre/bicec-veripass/issues/153,Task,"testing, aml",critical,M6 - Analytics & Demo,"Tests d'intégration — Coverage ≥ 70%: Pytest fixtures : DB de test isolée (pytest-postgresql), Redis mock (fakeredis), Celery eager mode; Couvrir : auth OTP, upload CNI, OCR pipeline, state machine transitions, Jean approve/reject, AML screening",Partiellement terminé,faible,"fichiers proches: `CHANGELOG.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/project-overview.md`",12,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
152,[ANALYTICS-13] Backend — Long-Polling Notifications pour Back-Office,https://github.com/Ken-Andre/bicec-veripass/issues/152,Task,"backend, backoffice, analytics, aml",medium,M6 - Analytics & Demo,"Backend — Long-Polling Notifications pour Back-Office: Endpoint SSE GET /backoffice/events/stream : Server-Sent Events pour agents connectés; Events streamés : new_dossier_arrived, sla_breach, aml_alert_created",Terminé probable,haute,"`Authorization` dans `code/scripts/upload-sharepoint-large-file.ps1`; fichiers proches: `code/scripts/upload-sharepoint-large-file.ps1`, `CHANGELOG.md`, `docs/schema/ddl-complete.sql`",13,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
151,[ANALYTICS-12] Backend — KPI Aggregation Endpoint,https://github.com/Ken-Andre/bicec-veripass/issues/151,Task,"backend, analytics, aml",medium,M6 - Analytics & Demo,"Backend — KPI Aggregation Endpoint: GET /analytics/dashboard : agréger en une requête les KPIs principaux (< 3s); KPIs : total_sessions_today, completion_rate, avg_processing_time_min, liveness_failure_rate, aml_alert_rate, ocr_fer_paddle, ocr_fer_glm",Terminé probable,haute,"`ANALYTICS-12` dans `code/backend/app/core/config.py`; `/analytics/dashboard` dans `code/backoffice/src/services/dossier-service.ts`; `aml_alert_rate` dans `code/backoffice/src/pages/analytics/AnalyticsPage.tsx`; fichiers proches: `code/backend/app/core/config.py`, `docs/adr/ADR-016-redis-namespaces-data-model.md`, `code/backoffice/src/pages/analytics/AnalyticsPage.tsx`",26,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
